
================================================================================
       Inexact Proximal Gradient Type Method   (version:0.1 (2021-09-17))  
================================================================================
Problem Summary: Excuted at 2021-10-1 21:44
Dataset:.......................................mushrooms
Data Size:......................................n=8124, p=112
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0095
Number of groups:..............................13

Algorithm Parameters:
Termination Conditions: accuracy: 1e-06 | optim scaled: False | time limits:3600.0 | iteration limits:100000
Inexact Strategy: yd: gamma:1.000e-01
Lineserch Parameters: eta:1e-05 | xi:0.5 | beta:1.1
Proximal Stepsize update: heuristic
****************************************************************************************************
 Iters.   Obj.    alphak   |  aoptim   its.   Flag  Stepsize  baks    Gap       tarGap    #pz  #pnz | baks    stepsize  |dtaken| |
     0 6.931e-01 1.000e+00 | 4.643e-01    1 desired 1.000e+00    0 +4.427e-04 +4.574e-02    0    13 |    0   1.000e+00 4.643e-01 |
     1 5.276e-01 1.100e+00 | 3.124e-01    1 desired 1.000e+00    0 +8.955e-04 +2.326e-02    0    13 |    0   1.000e+00 3.124e-01 |
     2 4.603e-01 1.210e+00 | 2.387e-01    1 desired 1.000e+00    0 +4.675e-04 +1.505e-02    0    13 |    0   1.000e+00 2.387e-01 |
     3 4.270e-01 1.331e+00 | 2.011e-01    1 desired 1.000e+00    0 +1.079e-03 +1.169e-02    1    12 |    0   1.000e+00 2.011e-01 |
     4 4.070e-01 1.464e+00 | 1.907e-01    1 desired 1.000e+00    0 +3.296e-03 +1.139e-02    0    13 |    0   1.000e+00 1.907e-01 |
     5 3.949e-01 1.611e+00 | 1.991e-01    1 desired 1.000e+00    0 +6.475e-03 +1.330e-02    0    13 |    0   1.000e+00 1.991e-01 |
     6 3.842e-01 1.772e+00 | 1.698e-01    1 desired 1.000e+00    0 +2.068e-03 +1.030e-02    0    13 |    0   1.000e+00 1.698e-01 |
     7 3.745e-01 1.949e+00 | 1.747e-01    1 desired 1.000e+00    0 +1.053e-02 +1.150e-02    0    13 |    0   1.000e+00 1.747e-01 |
     8 3.710e-01 2.144e+00 | 1.723e-01    1 desired 1.000e+00    0 +7.476e-03 +1.173e-02    0    13 |    0   1.000e+00 1.723e-01 |
     9 3.648e-01 2.358e+00 | 1.938e-01    3 desired 5.500e-01    1 +1.533e-02 +1.544e-02    0    13 |    0   1.000e+00 1.938e-01 |
    10 3.640e-01 2.594e+00 | 2.102e-01    1 desired 5.500e-01    0 +1.020e-02 +1.880e-02    0    13 |    0   1.000e+00 2.102e-01 |
    11 3.579e-01 2.853e+00 | 2.847e-01    1 desired 5.500e-01    0 +3.030e-02 +3.548e-02    0    13 |    1   5.000e-01 1.423e-01 |
    12 3.553e-01 2.282e+00 | 1.289e-01    2 desired 3.025e-01    1 +4.404e-04 +6.740e-03    3    10 |    0   1.000e+00 1.289e-01 |
    13 3.482e-01 2.511e+00 | 8.720e-02    1 desired 3.025e-01    0 +1.674e-04 +3.200e-03    5     8 |    0   1.000e+00 8.720e-02 |
